start_ts,channel_id,dur,title,series_title,orig_title,slot_name,sport_type,event_type,season_type
2024-10-09 00:00:00,7,6299,Профессиональный бокс. Тим Цзю против Такеши Иноуэ (Австралия),Профессиональный бокс. 2021,Профессиональный бокс. 2021,MCH. Профессиональный бокс. 2021 63/0  MCH. Профессиональный бокс. Тим Цзю против Такеши Иноуэ (Австралия),Профессиональный бокс,Боксерские бои,2021
2024-10-09 12:30:00,12,2699,Документальный фильм Стадион,"",Документальный фильм Стадион,MCH. Документальный фильм Стадион,"","",""
2024-10-08 16:45:00,10,2699,На гребне северной волны,"","Документальный фильм ""На гребне *северной волны*""",MCH. На гребне северной волны,"","",""
2024-10-10 19:30:00,10,2699,На гребне северной волны,"","Документальный фильм ""На гребне *северной волны*""",MCH. На гребне северной волны,"","",""
2024-10-01 00:05:00,7,10499,Бокс. Bare Knuckle FC. Энтони Ретик против Джарода Гранта. Джеремия Риггс против Коннора Тирни (США),Бокс. Bare Knuckle Boxing 2022,Бокс. Bare Knuckle Boxing 2022,MCH. Бокс. Bare Knuckle Boxing 2022 4/0  MCH. Бокс. Bare Knuckle FC. Энтони Ретик против Джарода Гранта. Джеремия Риггс против Коннора Тирни (США),Профессиональный бокс,Боксерские бои,""
2024-10-05 18:50:00,7,1499,"""Едем дальше! Будапешт""","""Едем дальше!""","""Едем дальше!"" Боец","MCH. ""Едем дальше!"" 1/0  MCH. ""Едем дальше! Будапешт""","","",""
2024-10-02 14:55:00,7,1499,"""Едем дальше! Будапешт""","""Едем дальше!""","""Едем дальше!"" Боец","MCH. ""Едем дальше!"" 1/0  MCH. ""Едем дальше! Будапешт""","","",""
2024-10-07 00:50:00,7,1499,"""Едем дальше! Будапешт""","""Едем дальше!""","""Едем дальше!"" Боец","MCH. ""Едем дальше!"" 1/0  MCH. ""Едем дальше! Будапешт""","","",""
2024-10-02 00:30:00,7,8999,Бокс. Bare Knuckle FC. Элвин Брито против Луиса Паломино. Бек Роулингс против Бритен Харт (США),Бокс. Bare Knuckle Boxing 2022,Бокс. Bare Knuckle Boxing 2022,MCH. Бокс. Bare Knuckle Boxing 2022 12/0  MCH. Бокс. Bare Knuckle FC. Элвин Брито против Луиса Паломино. Бек Роулингс против Бритен Харт (США),Профессиональный бокс,Боксерские бои,""
2024-10-09 08:05:00,7,2099,Больше чем бокс. Владимир Гендлин,"",Больше чем бокс. Владимир Гендлин,MCH. Больше чем бокс. Владимир Гендлин,"","",""
2024-10-02 09:00:00,7,899,"""За канатами. История о музыканте, боксе и мафии""","""За канатами""","""За канатами"". Боец. 2022","MCH. ""За канатами"" 2/0  MCH. ""За канатами. История о музыканте, боксе и мафии""","","",""
2024-10-08 13:00:00,12,1499,"Магия большого спорта (Хоккей, 1)","",Черная магия большого спорта (пилот),"MCH. Магия большого спорта (Хоккей, 1)","","",""
2024-10-10 01:00:00,12,1799,"Магия большого спорта (Хоккей, 1)","",Черная магия большого спорта (пилот),"MCH. Магия большого спорта (Хоккей, 1)","","",""
2024-10-01 14:40:00,7,1199,"""За канатами. История о Тайсоне, рэпе и 14 выстрелах""","""За канатами""","""За канатами"". Боец. 2022","MCH. ""За канатами"" 3/0  MCH. ""За канатами. История о Тайсоне, рэпе и 14 выстрелах""","","",""
2024-10-07 00:30:00,7,1199,"""За канатами. История о Тайсоне, рэпе и 14 выстрелах""","""За канатами""","""За канатами"". Боец. 2022","MCH. ""За канатами"" 3/0  MCH. ""За канатами. История о Тайсоне, рэпе и 14 выстрелах""","","",""
2024-10-04 21:15:00,7,599,Смешанные единоборства. UFC Fight Night. Предварительные бои. Филипп Хоуз против Романа Долидзе. Андрей Орловский против Маркуса Рожерио Де,Смешанные единоборства. UFC 2022,Смешанные единоборства. UFC 2022,MCH. Смешанные единоборства. UFC 2022 71/0  MCH. Смешанные единоборства. UFC Fight Night. Предварительные бои. Филипп Хоуз против Романа Долидзе. Андрей Орловский против Маркуса Рожерио Де,Смешанные единоборства,UFC,""
2024-10-01 18:00:00,7,599,Смешанные единоборства. UFC Fight Night. Предварительные бои. Филипп Хоуз против Романа Долидзе. Андрей Орловский против Маркуса Рожерио Де,Смешанные единоборства. UFC 2022,Смешанные единоборства. UFC 2022,MCH. Смешанные единоборства. UFC 2022 71/0  MCH. Смешанные единоборства. UFC Fight Night. Предварительные бои. Филипп Хоуз против Романа Долидзе. Андрей Орловский против Маркуса Рожерио Де,Смешанные единоборства,UFC,""
2024-10-02 18:00:00,7,1499,Смешанные единоборства. UFC Fight Night. Келвин Кэттер против Арнольда Аллена  (США),Смешанные единоборства. UFC 2022,Смешанные единоборства. UFC 2022,MCH. Смешанные единоборства. UFC 2022 72/0  MCH. Смешанные единоборства. UFC Fight Night. Келвин Кэттер против Арнольда Аллена  (США),Смешанные единоборства,UFC,""
2024-10-07 08:00:00,9,4199,Лошадиная сила,Лошадиная сила,Horsepower,MCH. Лошадиная сила 1/0  MCH. Лошадиная сила,"","",""
2024-10-07 20:00:00,9,3899,Лошадиная сила,Лошадиная сила,Horsepower,MCH. Лошадиная сила 1/0  MCH. Лошадиная сила,"","",""
2024-10-08 07:50:00,9,4199,Лошадиная сила,Лошадиная сила,Horsepower,MCH. Лошадиная сила 2/0  MCH. Лошадиная сила,"","",""
2024-10-08 20:10:00,9,3899,Лошадиная сила,Лошадиная сила,Horsepower,MCH. Лошадиная сила 2/0  MCH. Лошадиная сила,"","",""
2024-10-09 08:05:00,9,3899,Лошадиная сила,Лошадиная сила,Horsepower,MCH. Лошадиная сила 3/0  MCH. Лошадиная сила,"","",""
2024-10-09 20:35:00,9,3599,Лошадиная сила,Лошадиная сила,Horsepower,MCH. Лошадиная сила 3/0  MCH. Лошадиная сила,"","",""
2024-10-10 19:50:00,9,4199,Лошадиная сила,Лошадиная сила,Horsepower,MCH. Лошадиная сила 4/0  MCH. Лошадиная сила,"","",""
2024-10-04 08:25:00,1,2099,Смешанные единоборства. UFC 281. Исраэль Адесанья против Алекса Перейры. Дастин Порье против Майкла Чендлера (США),Смешанные единоборства. UFC 2022,Смешанные единоборства. UFC 2022,MCH. Смешанные единоборства. UFC 2022 76/0  MCH. Смешанные единоборства. UFC 281. Исраэль Адесанья против Алекса Перейры. Дастин Порье против Майкла Чендлера (США),Смешанные единоборства,UFC,""
2024-10-02 18:25:00,7,2099,Смешанные единоборства. UFC 281. Исраэль Адесанья против Алекса Перейры. Дастин Порье против Майкла Чендлера (США),Смешанные единоборства. UFC 2022,Смешанные единоборства. UFC 2022,MCH. Смешанные единоборства. UFC 2022 76/0  MCH. Смешанные единоборства. UFC 281. Исраэль Адесанья против Алекса Перейры. Дастин Порье против Майкла Чендлера (США),Смешанные единоборства,UFC,""
2024-10-03 01:15:00,13,3599,Весь мир - твои братья,"","""Весь мир - твои братья""",MCH. Весь мир - твои братья,"","",""
2024-10-07 11:25:00,7,899,"""Блог Бойца. Про стиль""","""Блог Бойца""","""Блог Бойца""","MCH. ""Блог Бойца"" 6/0  MCH. ""Блог Бойца. Про стиль""","","",""
2024-10-09 07:00:00,7,899,"""Блог Бойца. Про стиль""","""Блог Бойца""","""Блог Бойца""","MCH. ""Блог Бойца"" 6/0  MCH. ""Блог Бойца. Про стиль""","","",""
2024-10-04 21:25:00,7,1199,Смешанные единоборства. UFC Fight Night. Стивен Томпсон против Кевина Холланда. Сергей Павлович против Тая Туйвасы (США),Смешанные единоборства. UFC 2022,Смешанные единоборства. UFC 2022,MCH. Смешанные единоборства. UFC 2022 80/0  MCH. Смешанные единоборства. UFC Fight Night. Стивен Томпсон против Кевина Холланда. Сергей Павлович против Тая Туйвасы (США),Смешанные единоборства,UFC,""
2024-10-01 18:10:00,7,1199,Смешанные единоборства. UFC Fight Night. Стивен Томпсон против Кевина Холланда. Сергей Павлович против Тая Туйвасы (США),Смешанные единоборства. UFC 2022,Смешанные единоборства. UFC 2022,MCH. Смешанные единоборства. UFC 2022 80/0  MCH. Смешанные единоборства. UFC Fight Night. Стивен Томпсон против Кевина Холланда. Сергей Павлович против Тая Туйвасы (США),Смешанные единоборства,UFC,""
2024-10-06 18:25:00,3,1799,Легендарные клубы,Легендарные клубы,"Программа ""CLUBLAND""",MCH. Легендарные клубы 2/0  MCH. Легендарные клубы,"","",""
2024-09-30 22:30:00,4,1799,Легендарные клубы,Легендарные клубы,"Программа ""CLUBLAND""",MCH. Легендарные клубы 3/0  MCH. Легендарные клубы,"","",""
2024-10-04 02:30:00,4,1799,Легендарные клубы,Легендарные клубы,"Программа ""CLUBLAND""",MCH. Легендарные клубы 4/0  MCH. Легендарные клубы,"","",""
2024-10-05 02:30:00,4,1799,Легендарные клубы,Легендарные клубы,"Программа ""CLUBLAND""",MCH. Легендарные клубы 5/0  MCH. Легендарные клубы,"","",""
2024-10-04 13:20:00,4,1799,Легендарные клубы,Легендарные клубы,"Программа ""CLUBLAND""",MCH. Легендарные клубы 6/0  MCH. Легендарные клубы,"","",""
2024-10-05 21:25:00,4,1799,Легендарные клубы,Легендарные клубы,"Программа ""CLUBLAND""",MCH. Легендарные клубы 7/0  MCH. Легендарные клубы,"","",""
2024-10-01 03:00:00,1,1799,Игра миллионов,Игра миллионов,"Программа ""FOOTBALLERS LIVES""",MCH. Игра миллионов 2/0  MCH. Игра миллионов,"","",""
2024-10-01 11:25:00,1,1799,Игра миллионов,Игра миллионов,"Программа ""FOOTBALLERS LIVES""",MCH. Игра миллионов 2/0  MCH. Игра миллионов,"","",""
2024-10-02 03:00:00,1,1799,Игра миллионов,Игра миллионов,"Программа ""FOOTBALLERS LIVES""",MCH. Игра миллионов 3/0  MCH. Игра миллионов,"","",""
2024-10-02 11:25:00,1,1799,Игра миллионов,Игра миллионов,"Программа ""FOOTBALLERS LIVES""",MCH. Игра миллионов 3/0  MCH. Игра миллионов,"","",""
2024-10-03 03:00:00,1,1799,Игра миллионов,Игра миллионов,"Программа ""FOOTBALLERS LIVES""",MCH. Игра миллионов 4/0  MCH. Игра миллионов,"","",""
2024-10-03 11:25:00,1,1799,Игра миллионов,Игра миллионов,"Программа ""FOOTBALLERS LIVES""",MCH. Игра миллионов 4/0  MCH. Игра миллионов,"","",""
2024-10-04 03:00:00,1,1799,Игра миллионов,Игра миллионов,"Программа ""FOOTBALLERS LIVES""",MCH. Игра миллионов 5/0  MCH. Игра миллионов,"","",""
2024-10-07 03:00:00,1,1199,Игра миллионов,Игра миллионов,"Программа ""FOOTBALLERS LIVES""",MCH. Игра миллионов 6/0  MCH. Игра миллионов,"","",""
2024-10-08 03:00:00,1,1799,Игра миллионов,Игра миллионов,"Программа ""FOOTBALLERS LIVES""",MCH. Игра миллионов 7/0  MCH. Игра миллионов,"","",""
2024-10-08 11:25:00,1,1799,Игра миллионов,Игра миллионов,"Программа ""FOOTBALLERS LIVES""",MCH. Игра миллионов 7/0  MCH. Игра миллионов,"","",""
2024-10-09 03:00:00,1,1559,Игра миллионов,Игра миллионов,"Программа ""FOOTBALLERS LIVES""",MCH. Игра миллионов 8/0  MCH. Игра миллионов,"","",""
2024-10-09 11:25:00,1,1799,Игра миллионов,Игра миллионов,"Программа ""FOOTBALLERS LIVES""",MCH. Игра миллионов 8/0  MCH. Игра миллионов,"","",""
2024-10-10 03:00:00,1,1499,Игра миллионов,Игра миллионов,"Программа ""FOOTBALLERS LIVES""",MCH. Игра миллионов 9/0  MCH. Игра миллионов,"","",""
2024-10-10 11:25:00,1,1799,Игра миллионов,Игра миллионов,"Программа ""FOOTBALLERS LIVES""",MCH. Игра миллионов 9/0  MCH. Игра миллионов,"","",""
2024-10-04 21:50:00,13,1499,"Магия большого спорта (Лёгкая атлетика, 2)",Магия большого спорта,"Документальный фильм ""Магия большого спорта""","MCH. Магия большого спорта 2/0  MCH. Магия большого спорта (Лёгкая атлетика, 2)","","",""
2024-10-01 02:08:00,13,1379,"Магия большого спорта (Лёгкая атлетика, 2)",Магия большого спорта,"Документальный фильм ""Магия большого спорта""","MCH. Магия большого спорта 2/0  MCH. Магия большого спорта (Лёгкая атлетика, 2)","","",""
2024-10-01 12:29:00,13,1435,"Магия большого спорта (Лёгкая атлетика, 2)",Магия большого спорта,"Документальный фильм ""Магия большого спорта""","MCH. Магия большого спорта 2/0  MCH. Магия большого спорта (Лёгкая атлетика, 2)","","",""
2024-10-07 23:05:00,13,1499,"Магия большого спорта (Футбол, 3)",Магия большого спорта,"Документальный фильм ""Магия большого спорта""","MCH. Магия большого спорта 3/0  MCH. Магия большого спорта (Футбол, 3)","","",""
2024-10-08 11:25:00,13,1799,"Магия большого спорта (Футбол, 3)",Магия большого спорта,"Документальный фильм ""Магия большого спорта""","MCH. Магия большого спорта 3/0  MCH. Магия большого спорта (Футбол, 3)","","",""
2024-10-10 03:00:00,13,1499,"Магия большого спорта (Футбол, 3)",Магия большого спорта,"Документальный фильм ""Магия большого спорта""","MCH. Магия большого спорта 3/0  MCH. Магия большого спорта (Футбол, 3)","","",""
2024-10-09 07:05:00,13,1799,"Магия большого спорта (Футбол, 3)",Магия большого спорта,"Документальный фильм ""Магия большого спорта""","MCH. Магия большого спорта 3/0  MCH. Магия большого спорта (Футбол, 3)","","",""
2024-10-08 05:46:00,13,1439,"Магия большого спорта (Футбол, 3)",Магия большого спорта,"Документальный фильм ""Магия большого спорта""","MCH. Магия большого спорта 3/0  MCH. Магия большого спорта (Футбол, 3)","","",""
2024-10-01 13:35:00,12,1499,"Магия большого спорта (Шахматы, 12)",Магия большого спорта,"Документальный фильм ""Магия большого спорта""","MCH. Магия большого спорта 12/0  MCH. Магия большого спорта (Шахматы, 12)","","",""
2024-10-03 01:35:00,12,1799,"Магия большого спорта (Шахматы, 12)",Магия большого спорта,"Документальный фильм ""Магия большого спорта""","MCH. Магия большого спорта 12/0  MCH. Магия большого спорта (Шахматы, 12)","","",""
2024-10-04 10:25:00,12,1499,"Магия большого спорта (Шахматы, 12)",Магия большого спорта,"Документальный фильм ""Магия большого спорта""","MCH. Магия большого спорта 12/0  MCH. Магия большого спорта (Шахматы, 12)","","",""
2024-10-05 14:55:00,12,1799,"Магия большого спорта (Шахматы, 12)",Магия большого спорта,"Документальный фильм ""Магия большого спорта""","MCH. Магия большого спорта 12/0  MCH. Магия большого спорта (Шахматы, 12)","","",""
2024-10-09 23:40:00,7,899,"""Не о боях. Мурат Гассиев""","","""Не о боях. Мурат Гассиев""","MCH. ""Не о боях. Мурат Гассиев""","","",""
2024-10-07 06:25:00,7,899,"""Не о боях. Мурат Гассиев""","","""Не о боях. Мурат Гассиев""","MCH. ""Не о боях. Мурат Гассиев""","","",""
2024-10-08 11:25:00,7,899,"""Не о боях. Мурат Гассиев""","","""Не о боях. Мурат Гассиев""","MCH. ""Не о боях. Мурат Гассиев""","","",""
2024-10-10 03:00:00,8,1799,Подкова Серия 17,Подкова,"Конный мир. ""Подкова""",MCH. Подкова 17/0  MCH. Подкова Серия 17,"","",""
2024-10-07 03:30:00,8,1799,Подкова Серия 17,Подкова,"Конный мир. ""Подкова""",MCH. Подкова 17/0  MCH. Подкова Серия 17,"","",""
2024-10-09 17:30:00,8,1799,Подкова Серия 17,Подкова,"Конный мир. ""Подкова""",MCH. Подкова 17/0  MCH. Подкова Серия 17,"","",""
2024-10-02 06:00:00,8,1799,Подкова Серия 22,Подкова,"Конный мир. ""Подкова""",MCH. Подкова 22/0  MCH. Подкова Серия 22,"","",""
2024-10-01 13:55:00,8,1799,Подкова Серия 22,Подкова,"Конный мир. ""Подкова""",MCH. Подкова 22/0  MCH. Подкова Серия 22,"","",""
2024-10-04 10:50:00,8,1799,Подкова Серия 22,Подкова,"Конный мир. ""Подкова""",MCH. Подкова 22/0  MCH. Подкова Серия 22,"","",""
2024-10-03 21:40:00,8,1799,Подкова Серия 22,Подкова,"Конный мир. ""Подкова""",MCH. Подкова 22/0  MCH. Подкова Серия 22,"","",""
2024-10-05 07:55:00,8,1799,Подкова Серия 22,Подкова,"Конный мир. ""Подкова""",MCH. Подкова 22/0  MCH. Подкова Серия 22,"","",""
2024-10-06 08:40:00,8,1799,Подкова Серия 22,Подкова,"Конный мир. ""Подкова""",MCH. Подкова 22/0  MCH. Подкова Серия 22,"","",""
2024-09-30 23:30:00,10,3599,Король ринга. Николай Королёв,"","Документальный фильм ""Король ринга. Николай Королев""",MCH. Король ринга. Николай Королёв,"","",""
2024-10-08 20:15:00,12,1799,Баскетбол,Здоровый образ,Здоровый образ,MCH. Здоровый образ 1/0  MCH. Баскетбол,"","",""
2024-10-10 03:25:00,12,1799,Баскетбол,Здоровый образ,Здоровый образ,MCH. Здоровый образ 1/0  MCH. Баскетбол,"","",""
2024-10-01 02:00:00,1,1559,Вологда,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 6/0  MCH. Вологда,"","",""
2024-10-02 02:10:00,1,1439,Тольятти,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 7/0  MCH. Тольятти,"","",""
2024-10-03 02:00:00,1,1799,Владикавказ,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 8/0  MCH. Владикавказ,"","",""
2024-10-04 02:08:00,1,1319,Уфа,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 9/0  MCH. Уфа,"","",""
2024-10-02 14:25:00,10,1799,Екатеринбург,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 10/0  MCH. Екатеринбург,"","",""
2024-10-04 20:20:00,10,1799,Екатеринбург,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 10/0  MCH. Екатеринбург,"","",""
2024-10-06 10:00:00,10,1799,Екатеринбург,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 10/0  MCH. Екатеринбург,"","",""
2024-10-06 02:05:00,13,1499,Екатеринбург,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 10/0  MCH. Екатеринбург,"","",""
2024-10-01 04:25:00,13,1499,Екатеринбург,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 10/0  MCH. Екатеринбург,"","",""
2024-10-04 15:25:00,13,1799,Екатеринбург,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 10/0  MCH. Екатеринбург,"","",""
2024-10-05 06:59:00,13,1439,Екатеринбург,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 10/0  MCH. Екатеринбург,"","",""
2024-10-05 17:23:00,13,1439,Екатеринбург,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 10/0  MCH. Екатеринбург,"","",""
2024-10-05 12:00:00,12,1799,Тверь,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 11/0  MCH. Тверь,"","",""
2024-10-04 23:20:00,12,1799,Тверь,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 11/0  MCH. Тверь,"","",""
2024-10-04 03:30:00,12,1499,Тверь,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 11/0  MCH. Тверь,"","",""
2024-10-07 08:25:00,12,1799,Петрозаводск,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 12/0  MCH. Петрозаводск,"","",""
2024-10-09 02:00:00,12,1799,Петрозаводск,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 12/0  MCH. Петрозаводск,"","",""
2024-10-08 01:02:00,13,1799,Петрозаводск,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 12/0  MCH. Петрозаводск,"","",""
2024-10-09 12:22:00,13,1499,Петрозаводск,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 12/0  MCH. Петрозаводск,"","",""
2024-10-08 00:15:00,10,1799,Иваново,Что по спорту?,"""Что по спорту?""",MCH. Что по спорту? 15/0  MCH. Иваново,"","",""
2024-10-03 18:00:00,7,599,Смешанные единоборства. One FC. Регьян Эрсель против Синсамута Клинми. Тагир Халилов против Черной Пантеры (Таиланд),Смешанные единоборства. OneFC. 2023,Смешанные единоборства. OneFC. 2023,MCH. Смешанные единоборства. OneFC. 2023 11/0  MCH. Смешанные единоборства. One FC. Регьян Эрсель против Синсамута Клинми. Тагир Халилов против Черной Пантеры (Таиланд),Смешанные единоборства,OneFC,""
2024-10-09 23:55:00,7,4499,Профессиональный бокс. Тим Цзю против Тони Харрисона. Бой за титул чемпиона мира по версии WBO в первом среднем весе (Австралия),Профессиональный бокс. 2023,Профессиональный бокс. 2023,MCH. Профессиональный бокс. 2023 7/0  MCH. Профессиональный бокс. Тим Цзю против Тони Харрисона. Бой за титул чемпиона мира по версии WBO в первом среднем весе (Австралия),Профессиональный бокс,Боксерские бои,""
2024-10-05 07:05:00,1,419,Команда Матч. Карате-кайман,Команда Матч,Команда Матч,MCH. Команда Матч 40/0  MCH. Команда Матч. Карате-кайман,"","",""
2024-10-05 07:12:00,1,419,Команда Матч. Новые друзья,Команда Матч,Команда Матч,MCH. Команда Матч 43/0  MCH. Команда Матч. Новые друзья,"","",""
2024-10-05 07:19:00,1,359,Команда Матч. Первое поражение,Команда Матч,Команда Матч,MCH. Команда Матч 44/0  MCH. Команда Матч. Первое поражение,"","",""
2024-10-04 21:45:00,7,1499,Смешанные единоборства. UFC 287. Алекс Перейра против Исраэля Адесаньи II. Гилберт Бёрнс против Хорхе Масвидаля (США),Смешанные единоборства. UFC 2023,Смешанные единоборства. UFC 2023,MCH. Смешанные единоборства. UFC 2023 22/0  MCH. Смешанные единоборства. UFC 287. Алекс Перейра против Исраэля Адесаньи II. Гилберт Бёрнс против Хорхе Масвидаля (США),Смешанные единоборства,UFC,""
2024-10-01 18:30:00,7,1499,Смешанные единоборства. UFC 287. Алекс Перейра против Исраэля Адесаньи II. Гилберт Бёрнс против Хорхе Масвидаля (США),Смешанные единоборства. UFC 2023,Смешанные единоборства. UFC 2023,MCH. Смешанные единоборства. UFC 2023 22/0  MCH. Смешанные единоборства. UFC 287. Алекс Перейра против Исраэля Адесаньи II. Гилберт Бёрнс против Хорхе Масвидаля (США),Смешанные единоборства,UFC,""
2024-10-09 02:15:00,7,2699,"""Едем дальше! Владивосток""","""Едем дальше!""","""Едем дальше!"" Боец","MCH. ""Едем дальше!"" 8/0  MCH. ""Едем дальше! Владивосток""","","",""
2024-10-10 18:20:00,7,2399,"""Едем дальше! Владивосток""","""Едем дальше!""","""Едем дальше!"" Боец","MCH. ""Едем дальше!"" 8/0  MCH. ""Едем дальше! Владивосток""","","",""
2024-10-09 12:30:00,7,2699,"""Едем дальше! Владивосток""","""Едем дальше!""","""Едем дальше!"" Боец","MCH. ""Едем дальше!"" 8/0  MCH. ""Едем дальше! Владивосток""","","",""
2024-10-08 06:40:00,7,6899,Смешанные единоборства. INVICTA FC 53. Джиллиан Декурси против Рэяни Дос Сантос. Ольга Рубин против Кейт Гатри (США),"Смешанные единоборства, Invicta FC, турнир 1-8 2023 год","Смешанные единоборства, Invicta FC, турнир 1-8 2023 год","MCH. Смешанные единоборства, Invicta FC, турнир 1-8 2023 год 3/0  MCH. Смешанные единоборства. INVICTA FC 53. Джиллиан Декурси против Рэяни Дос Сантос. Ольга Рубин против Кейт Гатри (США)",Смешанные единоборства,Invicta,""
